BUND;BUXL
130.6;132.54
130.38;132.08
130.35;132
130.36;132.1
130.37;132.12
130.39;132.16
130.41;132.2
130.41;132.18
130.41;132.2
130.42;132.26
130.42;132.24
130.43;132.26
130.4;132.18
130.41;132.2
130.44;132.28
130.45;132.3
130.45;132.3
130.45;132.3
130.43;132.24
130.44;132.28
130.45;132.3
130.46;132.32
130.45;132.3
130.43;132.24
130.4;132.18
130.4;132.16
130.38;132.12
130.39;132.08
130.41;132.1
130.42;132.12
130.43;132.1
130.45;132.16
130.44;132.14
130.42;132.12
130.43;132.1
130.43;132.08
130.39;132
130.41;132.02
130.4;132
130.38;131.98
130.38;131.98
130.35;131.92
130.38;131.96
130.4;131.98
130.37;131.94
130.38;131.96
130.4;131.98
130.37;131.92
130.38;131.96
130.39;131.98
130.38;131.94
130.42;132
130.45;132.06
130.46;132.08
130.44;132.02
130.43;132
130.44;132.02
130.41;132
130.41;131.98
130.42;132
130.37;131.9
130.39;131.92
130.34;131.84
130.34;131.82
130.34;131.82
130.34;131.82
130.35;131.84
130.35;131.84
130.4;131.9
130.43;131.98
130.43;132
130.48;132.14
130.49;132.14
130.52;132.16
130.55;132.26
130.58;132.28
130.59;132.34
130.64;132.46
130.66;132.48
130.68;132.54
130.69;132.54
130.7;132.52
130.63;132.36
130.63;132.38
130.62;132.34
130.61;132.32
130.6;132.32
130.6;132.32
130.57;132.24
130.53;132.16
130.54;132.18
130.55;132.22
130.54;132.18
130.52;132.1
130.55;132.16
130.58;132.24
130.61;132.3
130.56;132.16
130.58;132.22
130.54;132.1
130.54;132.1
130.53;132.08
130.56;132.14
130.58;132.18
130.56;132.14
130.57;132.14
130.55;132.12
130.54;132.08
130.57;132.16
130.55;132.1
130.57;132.14
130.54;132.06
130.54;132.06
130.54;132.06
130.53;132.04
130.5;131.98
130.52;132.02
130.51;132
130.48;131.92
130.48;131.9
130.46;131.9
130.44;131.82
130.44;131.82
130.47;131.88
130.44;131.82
130.44;131.84
130.39;131.74
130.38;131.74
130.38;131.7
130.4;131.78
130.39;131.78
130.4;131.78
130.41;131.82
130.38;131.74
130.38;131.74
130.36;131.7
130.38;131.74
130.4;131.8
130.4;131.78
130.41;131.82
130.4;131.76
130.4;131.8
130.43;131.86
130.43;131.86
130.35;131.7
130.4;131.84
130.39;131.82
130.39;131.86
130.4;131.9
130.41;131.92
130.42;131.94
130.39;131.88
130.41;131.92
130.42;131.92
130.38;131.82
130.35;131.76
130.36;131.78
130.36;131.78
130.37;131.8
130.36;131.78
130.37;131.8
130.37;131.8
130.35;131.78
130.34;131.72
130.36;131.76
130.37;131.76
130.37;131.8
130.36;131.76
130.35;131.76
130.35;131.74
130.31;131.68
130.33;131.72
130.34;131.72
130.33;131.7
130.33;131.72
130.31;131.68
130.31;131.68
130.32;131.7
130.3;131.66
130.29;131.66
130.32;131.7
130.32;131.74
130.36;131.82
130.35;131.8
130.33;131.74
130.32;131.72
130.32;131.72
130.36;131.82
130.37;131.88
130.38;131.92
130.38;131.94
130.38;131.96
130.38;131.96
130.37;131.96
130.36;131.96
130.36;131.96
130.31;131.86
130.31;131.86
130.3;131.82
130.32;131.84
130.34;131.9
130.33;131.86
130.31;131.84
130.31;131.82
130.32;131.86
130.34;131.9
130.3;131.84
130.29;131.78
130.29;131.76
130.24;131.66
130.25;131.72
130.25;131.68
130.26;131.74
130.26;131.74
130.25;131.74
130.23;131.7
130.23;131.68
130.23;131.7
130.23;131.7
130.22;131.66
130.22;131.68
130.22;131.68
130.24;131.72
130.22;131.72
130.21;131.68
130.21;131.68
130.19;131.6
130.2;131.62
130.18;131.6
130.15;131.52
130.18;131.6
130.22;131.66
130.24;131.76
130.25;131.78
130.23;131.72
130.22;131.68
130.21;131.64
130.21;131.64
130.22;131.7
130.22;131.68
130.18;131.58
130.19;131.58
130.22;131.66
130.21;131.64
130.21;131.66
130.19;131.6
130.18;131.58
130.16;131.54
130.21;131.64
130.21;131.64
130.21;131.66
130.22;131.66
130.26;131.78
130.24;131.74
130.26;131.78
130.25;131.78
130.26;131.78
130.26;131.82
130.27;131.8
130.27;131.8
130.25;131.76
130.24;131.74
130.24;131.74
130.26;131.76
130.25;131.78
130.29;131.84
130.29;131.84
130.31;131.88
130.28;131.8
130.3;131.84
130.31;131.86
130.31;131.86
130.3;131.86
130.3;131.86
130.29;131.86
130.3;131.86
130.29;131.86
130.29;131.86
130.31;131.9
130.32;131.9
130.34;131.96
130.34;131.94
130.35;131.98
